ds,y
28-08-1987,5.16
04-09-1987,5.63
11-09-1987,6
18-09-1987,6.37
25-09-1987,6.15
02-10-1987,6.55
09-10-1987,6.8
16-10-1987,7.15
23-10-1987,7.15
30-10-1987,7.73
06-11-1987,7.05
13-11-1987,7.25
20-11-1987,7.25
27-11-1987,7.4
04-12-1987,7.55
11-12-1987,7.7
18-12-1987,8.45
25-12-1987,9.18
01-01-1988,9.39
08-01-1988,9.59
15-01-1988,9.55
22-01-1988,10.4
29-01-1988,9.64
05-02-1988,8.79
12-02-1988,8.49
19-02-1988,8.7
26-02-1988,7.64
04-03-1988,8.43
11-03-1988,8.44
18-03-1988,8.8
25-03-1988,8.9
01-04-1988,8.88
08-04-1988,8.7
15-04-1988,8.6
22-04-1988,8.67
29-04-1988,7.79
06-05-1988,8.47
13-05-1988,9.31
20-05-1988,9.49
27-05-1988,9.37
03-06-1988,10
10-06-1988,10
17-06-1988,10.34
24-06-1988,10.86
01-07-1988,13.27
08-07-1988,13.93
15-07-1988,15.23
22-07-1988,14.16
29-07-1988,11.54
05-08-1988,11.94
12-08-1988,10.77
19-08-1988,10.23
26-08-1988,10.19
02-09-1988,10.54
09-09-1988,9.96
16-09-1988,10.06
23-09-1988,9.99
30-09-1988,10.39
07-10-1988,9.05
14-10-1988,9.58
21-10-1988,9.93
28-10-1988,9.97
04-11-1988,9.9
11-11-1988,9.93
18-11-1988,9.6
25-11-1988,9.9
02-12-1988,11.01
09-12-1988,9.55
16-12-1988,7.63
23-12-1988,7.4
30-12-1988,10
06-01-1989,10.41
13-01-1989,9.85
20-01-1989,9.96
27-01-1989,9.67
03-02-1989,10.1
10-02-1989,10.34
17-02-1989,11.68
24-02-1989,10.95
03-03-1989,11.21
10-03-1989,11.91
17-03-1989,12.31
24-03-1989,11.11
31-03-1989,12.62
07-04-1989,12.37
14-04-1989,11.95
21-04-1989,12.54
28-04-1989,11.79
05-05-1989,12.32
12-05-1989,12.67
19-05-1989,12.19
26-05-1989,11.14
02-06-1989,11.42
09-06-1989,11.57
16-06-1989,13.06
23-06-1989,13.72
30-06-1989,14.33
07-07-1989,13.08
14-07-1989,14.09
21-07-1989,14.26
28-07-1989,14.67
04-08-1989,14.18
11-08-1989,14.42
18-08-1989,13.38
25-08-1989,13.84
